Total characters: 1566113
Unique characters: 2443

Rank	Char	Count	Percent
1	다	76828	4.9056%
2	하	48646	3.1062%
3	이	26053	1.6635%
4	기	25650	1.6378%
5	리	24245	1.5481%
6	지	19196	1.2257%
7	사	17787	1.1357%
8	자	15510	0.9903%
9	대	15058	0.9615%
10	수	13776	0.8796%
11	가	12361	0.7893%
12	전	11320	0.7228%
13	도	10975	0.7008%
14	스	10830	0.6915%
15	시	10129	0.6468%
16	무	10018	0.6397%
17	장	10016	0.6395%
18	정	9870	0.6302%
19	화	9859	0.6295%
20	비	9746	0.6223%
21	부	9424	0.6017%
22	성	9352	0.5971%
23	고	9285	0.5929%
24	아	9219	0.5887%
25	소	9208	0.5880%
26	구	9176	0.5859%
27	상	9085	0.5801%
28	주	8967	0.5726%
29	조	8660	0.5530%
30	동	8649	0.5523%
31	산	8604	0.5494%
32	거	8556	0.5463%
33	제	8290	0.5293%
34	물	7700	0.4917%
35	적	7247	0.4627%
36	나	7219	0.4610%
37	어	7194	0.4594%
38	공	7181	0.4585%
39	인	7143	0.4561%
40	유	7086	0.4525%
41	선	7050	0.4502%
42	로	6854	0.4376%
43	치	6720	0.4291%
44	의	6541	0.4177%
45	계	6438	0.4111%
46	보	6341	0.4049%
47	방	6335	0.4045%
48	신	6332	0.4043%
49	마	6307	0.4027%
50	미	6142	0.3922%
51	르	5915	0.3777%
52	경	5913	0.3776%
53	오	5854	0.3738%
54	우	5850	0.3735%
55	개	5691	0.3634%
56	일	5645	0.3604%
57	원	5582	0.3564%
58	관	5578	0.3562%
59	연	5556	0.3548%
60	레	5446	0.3477%
61	라	5339	0.3409%
62	세	5323	0.3399%
63	문	5278	0.3370%
64	모	5274	0.3368%
65	질	5150	0.3288%
66	식	5147	0.3286%
67	단	5141	0.3283%
68	불	5136	0.3279%
69	되	5126	0.3273%
70	중	5106	0.3260%
71	학	5069	0.3237%
72	법	5054	0.3227%
73	바	5021	0.3206%
74	트	4987	0.3184%
75	반	4868	0.3108%
76	금	4773	0.3048%
77	분	4537	0.2897%
78	음	4533	0.2894%
79	서	4521	0.2887%
80	호	4513	0.2882%
