앞글자,뒷글자,빈도
<BOS>,가,7336
<BOS>,감,2465
<BOS>,건,1362
<BOS>,검,1141
<BOS>,결,1267
<BOS>,계,2896
<BOS>,고,5803
<BOS>,공,4574
<BOS>,관,2843
<BOS>,교,2369
<BOS>,군,1702
<BOS>,권,1175
<BOS>,근,1066
<BOS>,급,661
<BOS>,기,7981
<BOS>,낭,429
<BOS>,녘,26
<BOS>,농,1031
<BOS>,늑,85
<BOS>,다,2914
<BOS>,단,2848
<BOS>,닿,32
<BOS>,대,8904
<BOS>,도,4605
<BOS>,두,1577
<BOS>,등,1422
<BOS>,똑,49
<BOS>,매,1580
<BOS>,면,986
<BOS>,몽,492
<BOS>,문,2721
<BOS>,물,2962
<BOS>,방,3259
<BOS>,백,1710
<BOS>,본,719
<BOS>,부,4863
<BOS>,분,2534
<BOS>,붕,229
<BOS>,사,8405
<BOS>,상,3978
<BOS>,석,1448
<BOS>,선,3405
<BOS>,성,3549
<BOS>,속,1148
<BOS>,송,879
<BOS>,수,6561
<BOS>,숭,253
<BOS>,승,816
<BOS>,압,560
<BOS>,약,926
<BOS>,어,3370
<BOS>,없,253
<BOS>,역,1036
<BOS>,연,3180
<BOS>,영,1941
<BOS>,예,1320
<BOS>,오,3701
<BOS>,온,655
<BOS>,웃,238
<BOS>,웅,277
<BOS>,위,1778
<BOS>,유,4485
<BOS>,의,1593
<BOS>,인,3582
<BOS>,일,3186
<BOS>,자,7482
<BOS>,작,1297
<BOS>,장,4828
<BOS>,전,6541
<BOS>,정,4359
<BOS>,제,4036
<BOS>,조,4811
<BOS>,족,536
<BOS>,졸,278
<BOS>,종,2041
<BOS>,주,4702
<BOS>,지,6950
<BOS>,집,1671
<BOS>,차,1808
<BOS>,채,1051
<BOS>,처,748
<BOS>,체,1391
<BOS>,추,1224
<BOS>,출,878
<BOS>,톨,56
<BOS>,투,989
<BOS>,편,954
<BOS>,평,1292
<BOS>,포,1892
<BOS>,하,41675
<BOS>,호,2173
<BOS>,화,3271
<BOS>,환,1088
<BOS>,후,1128
<BOS>,례,234
<BOS>,현,1186
<BOS>,히,2646
<BOS>,되,4825
<BOS>,법,2428
<BOS>,변,1273
<BOS>,산,3591
<BOS>,은,896
<BOS>,죄,320
<BOS>,판,1475
<BOS>,합,905
<BOS>,형,1151
<BOS>,소,5087
<BOS>,순,1121
<BOS>,저,1793
<BOS>,축,680
<BOS>,글,520
<BOS>,날,908
<BOS>,내,2375
<BOS>,쟁,499
<BOS>,과,2207
<BOS>,세,2685
<BOS>,시,4504
<BOS>,표,1304
<BOS>,경,3369
<BOS>,준,578
<BOS>,충,661
<BOS>,우,2848
<BOS>,원,2744
<BOS>,카,953
<BOS>,탄,892
<BOS>,통,2188
<BOS>,폭,497
<BOS>,혁,271
<BOS>,협,636
<BOS>,효,573
<BOS>,보,4042
<BOS>,안,2048
<BOS>,절,1512
<BOS>,비,4518
<BOS>,미,2597
<BOS>,망,1090
<BOS>,스,2347
<BOS>,식,1558
<BOS>,업,385
<BOS>,육,889
<BOS>,적,2679
<BOS>,창,1149
<BOS>,치,1936
<BOS>,품,551
<BOS>,나,3556
<BOS>,무,4662
<BOS>,민,1036
<BOS>,배,2435
<BOS>,삭,291
<BOS>,생,2215
<BOS>,야,992
<BOS>,여,1687
<BOS>,열,1304
<BOS>,이,7689
<BOS>,철,1366
<BOS>,케,257
<BOS>,증,1941
<BOS>,마,2913
<BOS>,봉,1131
<BOS>,엄,415
<BOS>,옥,794
<BOS>,재,2543
<BOS>,점,1225
<BOS>,노,2331
<BOS>,뜨,496
<BOS>,찬,331
<BOS>,극,792
<BOS>,학,1383
<BOS>,콜,224
<BOS>,금,2293
<BOS>,률,200
<BOS>,임,853
<BOS>,트,663
<BOS>,쇼,121
<BOS>,뱅,153
<BOS>,살,1276
<BOS>,타,1273
<BOS>,균,383
<BOS>,말,1416
<BOS>,랗,2
<BOS>,갈,1114
<BOS>,개,2782
<BOS>,갯,128
<BOS>,골,935
<BOS>,괴,444
<BOS>,귀,1089
<BOS>,끈,153
<BOS>,네,394
<BOS>,눈,926
<BOS>,데,508
<BOS>,돌,1448
<BOS>,동,3532
<BOS>,명,1267
<BOS>,바,3165
<BOS>,범,673
<BOS>,벗,84
<BOS>,베,777
<BOS>,솔,388
<BOS>,솜,130
<BOS>,쇠,798
<BOS>,실,1970
<BOS>,쑥,157
<BOS>,잎,260
<BOS>,참,998
<BOS>,할,599
<BOS>,허,1181
<BOS>,홈,157
<BOS>,먹,461
<BOS>,진,2188
<BOS>,구,4259
<BOS>,꽃,782
