ID	Token	Freq
0	<PAD>	0
1	<BOS>	0
2	<EOS>	0
3	<SP>	450470
4	.	55093
5	이	40244
6	었	39266
7	다	32978
8	는	32976
9	하	28364
10	어	23987
11	을	23909
12	은	22173
13	의	18975
14	고	18103
15	에	16630
16	있	16277
17	,	15453
18	가	15091
19	를	12464
20	것	10398
21	지	9210
22	한	8126
23	도	7857
24	게	7469
25	나	7407
26	그	7206
27	들	6722
28	말	6102
29	되	5618
30	?	5432
31	으로	5363
32	로	5126
33	어서	5060
34	에서	4821
35	않	4683
36	없	4556
37	습니다	4318
38	기	3993
39	사람	3886
40	수	3831
41	일	3131
42	보	3105
43	ᆸ니다	2697
44	!	2678
45	생각	2642
46	에게	2629
47	어요	2590
48	과	2579
49	같	2527
50	오	2501
51	자	2414
52	겠	2367
53	와	2218
54	할	2212
55	주	2147
56	거	2046
57	면	2030
58	우리	2005
59	그렇	2002
60	그러나	1994
61	때	1914
62	아니	1906
63	야	1884
64	며	1880
65	박사	1833
66	안	1756
67	만	1732
68	소리	1712
69	두	1683
70	던	1640
71	알	1550
72	ᆫ다	1529
73	까지	1519
74	시	1484
75	그것	1463
76	그리고	1454
77	라고	1426
78	좋	1359
79	지구	1346
80	우주	1319
81	보이	1258
82	ᆫ가	1244
83	모르	1207
84	당신	1202
85	눈	1190
86	속	1189
87	다고	1178
88	서	1164
89	때문	1146
90	니	1128
91	지만	1126
92	면서	1120
93	시작	1094
94	다는	1086
95	지금	1086
96	곳	1063
97	인	1052
98	손	1037
99	가지	1034
100	우주선	1027
101	시간	1015
102	얼굴	991
103	큰	981
104	어떻	954
105	어도	945
106	그러	939
107	존	935
108	저	928
109	로봇	924
110	호	918
111	으면	913
112	버리	903
113	또	882
114	이상	875
115	모두	873
116	네	857
117	전	843
118	인간	842
119	여기	840
120	잘	837
121	곧	833
122	는데	831
123	……	821
124	된	799
125	너	798
126	라는	796
127	처럼	793
128	내	774
129	머리	773
130	묻	770
131	적	769
132	라	756
133	위	752
134	교수	749
135	쪽	746
136	듣	729
137	싶	727
138	이야기	722
139	살	721
140	나오	720
141	이나	717
142	그런	702
143	이렇	701
144	어야	690
145	자기	684
146	대	683
147	동안	681
148	날	674
149	번	671
150	뿐	670
151	받	670
152	려고	669
153	계속	666
154	모양	665
155	죽	657
156	다시	657
157	그런데	655
158	바다	653
159	같이	652
160	지요	651
161	년	647
162	어디	645
163	집	641
164	아무	640
165	으나	630
166	입	627
167	들어가	626
168	앞	621
169	조금	618
170	조지	618
171	자네	612
172	1	609
173	듯	604
174	개	600
175	몸	595
176	요	593
177	소	588
178	아직	584
179	님	582
180	더	578
181	마틴	572
182	부터	570
183	걸	569
184	보다	564
185	놓	560
186	짐	559
187	아버지	555
188	세계	552
189	만들	552
190	다른	550
191	향하	549
192	뭐	549
193	정도	549
194	선장	549
195	몇	542
196	별	541
197	뒤	538
198	후	537
199	방	533
200	물	533
201	행성	529
202	거기	528
203	세	523
204	누구	522
205	그래서	521
206	베일리	521
207	밖	520
208	못	519
209	다가	518
210	으며	516
211	듯이	515
212	어떤	514
213	온	510
214	화성	509
215	대답	509
216	위하	508
217	브레인	508
218	라도	504
219	무엇	503
220	힘	497
221	될	496
222	분	496
223	더니	496
224	ᆯ까	494
225	많	493
226	시키	492
227	모습	492
228	알ᆯ	492
229	2	491
230	발견	491
231	문	490
232	갑자기	487
233	ᆫ지	483
234	나가	481
235	작	480
236	쓰	479
237	이제	472
238	마음	472
239	아주	472
240	죠	470
241	일어나	467
242	다음	466
243	중	466
244	이것	464
245	도록	463
246	니까	462
247	는지	461
248	데	458
249	조사	455
250	어라	451
251	다면	450
252	열	449
253	정말	449
254	대하	449
255	달	448
256	군	448
257	소년	448
258	ᆫ데	442
259	물론	440
260	명	438
261	무섭	426
262	왜	425
263	3	424
264	남	423
265	이미	421
266	타	419
267	옆	419
268	웃	419
269	터	417
270	하나	412
271	사이	412
272	놀라	411
273	커크	407
274	어머니	406
275	차	405
276	모	403
277	줄	402
278	로스	401
279	그건	400
280	좀	399
281	여행	399
282	사나이	396
283	여러	391
284	.......	391
285	무슨	390
286	기분	390
287	아	387
288	필요	387
289	크	386
290	어느	385
291	그럼	385
292	이런	385
293	건	384
294	스럽	383
295	기계	380
296	기다리	377
297	태양	374
298	빛	373
299	앉	370
300	ᆸ니까	370
301	순간	366
302	마리	364
303	사실	363
304	배	362
305	밤	360
306	길	358
307	들리	358
308	숨	356
309	잡	356
310	난	354
311	얘기	354
312	쯤	354
313	빨리	351
314	여자	351
315	진	349
316	고개	349
317	외치	343
318	습니까	343
319	가까이	340
320	씨	338
321	넣	338
322	등	337
323	치	336
324	아저씨	336
325	찾	335
326	제	335
327	처음	334
328	이윽고	334
329	돌	334
330	정신	333
331	없이	332
332	움직이	331
333	본	330
334	대로	329
335	나타나	328
336	불	327
337	돌아가	326
338	단	326
339	다니엘	326
340	점점	325
341	만나	323
342	채	321
343	아이	321
344	바라보	320
345	모든	318
346	지나	317
347	란	317
348	떨어지	316
349	바로	315
350	먹	315
351	놈	314
352	짓	313
353	ᆫ다는	312
354	폴	312
355	장치	311
356	마치	311
357	을까	311
358	토니	311
359	미터	309
360	랄프	304
361	믿	302
362	돌아오	302
363	걱정	301
364	총	300
365	데이비드	300
366	으니까	299
367	데리	296
368	군요	295
369	5	294
370	괴물	293
371	......	293
372	못하	292
373	내리	289
374	목소리	289
375	부르	289
376	이름	287
377	꼭	286
378	사용	286
379	따르	285
380	하늘	285
381	느끼	284
382	놀	283
383	예	283
384	ᆫ다고	282
385	밖에	282
386	구나	282
387	보내	279
388	끝	277
389	위험	277
390	는가	277
391	걷	277
392	빛나	274
393	신	274
394	그렇지만	273
395	하지만	273
396	ᆸ시오	273
397	발	272
398	생물	272
399	샤리	272
400	함께	271
401	공기	270
402	이번	268
403	시튼	268
404	전혀	265
405	오늘	264
406	라면	261
407	자신	260
408	들어오	259
409	틀림없	258
410	10	258
411	바위	258
412	뜨	256
413	달리	256
414	선	256
415	주위	255
416	ᆯ지	252
417	끄덕이	251
418	스테이션	251
419	참	249
420	었었	247
421	캐시	247
422	사	246
423	나무	246
424	돈	245
425	깜짝	244
426	로서	244
427	사건	244
428	방법	243
429	과학	243
430	부탁	243
431	ᆫ다면	243
432	훌륭	242
433	초	242
434	가장	242
435	너희	242
436	천천히	241
437	ᆯ세	241
438	인공	240
439	설명	239
440	벽	238
441	그래	238
442	루이제	237
443	금속	236
444	섬	236
445	많이	234
446	동물	233
447	친구	233
448	명령	233
449	사라지	232
450	조	232
451	다니	230
452	만일	230
453	실	229
454	킬로미터	229
455	새롭	229
456	얼마	228
457	연구	227
458	거나	227
459	너무	225
460	출발	225
461	형	224
462	걸리	222
463	땅	222
464	올라가	222
465	거의	222
466	아침	222
467	거리	220
468	건물	219
469	지구인	219
470	식민지	219
471	꾼	219
472	갈	218
473	머신	218
474	몹시	217
475	가깝	216
476	두뇌	216
477	화성인	215
478	죽이	215
479	케무로	215
480	그때	214
481	뇌	214
482	대장	213
483	으므로	211
484	냐	211
485	음	210
486	으니	209
487	앨런	209
488	4	208
489	인류	207
490	옛날	207
491	읽	207
492	도착	207
493	동굴	206
494	잭	206
495	역시	205
496	속도	205
497	실험	204
498	높	204
499	여러분	204
500	로부터	203
501	굉장	203
502	부인	203
503	는다	202
504	밑	201
505	숲	201
506	다가오	200
507	밝	200
508	국장	200
509	아름답	199
510	서로	199
511	계	199
512	겨우	198
513	고양이	198
514	끝나	197
515	버린	197
516	천	197
517	카디스	197
518	준비	196
519	돌리	196
520	로켓	195
521	회사	194
522	그대로	193
523	스위치	193
524	문제	193
525	쳐다보	191
526	표정	191
527	러	190
528	사냥	190
529	볼	189
530	세상	188
531	간	188
532	미래	188
533	아리스	186
534	소녀	186
535	계획	186
536	말씀	185
537	검	185
538	가리키	184
539	식사	184
540	케룬	184
541	자동차	183
542	어깨	183
543	흔들	183
544	떠나	183
545	꺼내	183
546	생활	182
547	질	182
548	틀림없이	182
549	열리	180
550	새	180
551	팔	180
552	맥코이	180
553	잠시	179
554	언제	179
555	우주인	179
556	로랑	178
557	가슴	177
558	점	177
559	벌써	177
560	변하	176
561	만약	176
562	그러면	176
563	SF	176
564	모래	176
565	먼저	175
566	낮	175
567	더욱	175
568	붉	174
569	착륙	174
570	혼자	173
571	화	173
572	용	173
573	완전히	172
574	귀	172
575	그리	172
576	올리	171
577	커다랗ᆫ	171
578	아마	171
579	와루코	171
580	아루바	171
581	젊	170
582	으면서	170
583	백	170
584	듀켄	170
585	울리	169
586	20	169
587	멈추	168
588	일어서	168
589	지르	168
590	반	168
591	비밀	168
592	헨드론	168
593	드디어	167
594	드리	167
595	아빠	167
596	깊	166
597	든지	166
598	옷	166
599	무	166
600	그만	165
601	어렵	165
602	체인버스	165
603	시체	164
604	맞	164
605	지하	164
606	마지막	164
607	넓	163
608	보통	163
609	경	163
610	의사	162
611	내밀	162
612	만큼	162
613	풀	162
614	을지	162
615	이젠	162
616	소설	162
617	언덕	162
618	절대로	161
619	스팍	161
620	만들ᆫ	160
621	아래	160
622	거대	159
623	내려가	159
624	들려오	159
625	경찰	159
626	광선	159
627	붙	158
628	성	158
629	엔	158
630	멀ᆫ	158
631	신문	158
632	남자	158
633	비	157
634	장소	157
635	글로리아	157
636	기지	157
637	닿	157
638	바람	156
639	도망치	156
640	딴	156
641	나라	155
642	산	155
643	쥐	155
644	째	154
645	과학자	154
646	어둡	154
647	당하	154
648	ᆯ까요	154
649	엔진	154
650	세기	153
651	중력	153
652	둘	153
653	30	153
654	우주복	153
655	쉬	152
656	씩	152
657	날아가	152
658	타버	152
659	빠지	151
660	연락	151
661	갖	150
662	정부	150
663	스크린	150
664	괜찮	150
665	6	150
666	이건	150
667	재빨리	149
668	중얼거리	149
669	높이	149
670	가운데	149
671	책	149
672	스리	149
673	흐르	148
674	아가씨	148
675	잠깐	148
676	리	147
677	전화	147
678	도시	147
679	그걸	147
680	아무리	147
681	대한	147
682	타임	147
683	통하	146
684	잃	146
685	챌린저	146
686	스리다	146
687	대신	145
688	알리	145
689	의자	145
690	도대체	145
691	결정	145
692	가디스	145
693	고서	144
694	막	144
695	걸어가	144
696	보고	144
697	탐험	144
698	뉴욕	143
699	미국	143
700	희미	143
701	편	143
702	누르	142
703	저녁	142
704	즉	142
705	오르	141
706	저쪽	141
707	달려가	141
708	그래도	141
709	사막	141
710	탑	140
711	텔레비전	140
712	기사	140
713	멀리	140
714	병원	140
715	그렇ᆯ	139
716	탠트라	139
717	시대	138
718	사방	138
719	7	138
720	자리	138
721	아까	138
722	상자	138
723	식물	138
724	파괴	137
725	작품	137
726	비행기	137
727	뛰	135
728	잘못	135
729	훨씬	135
730	어째서	135
731	창	134
732	비치	134
733	목	134
734	가르치	134
735	싫	133
736	센터	133
737	소리치	133
738	잊	133
739	연료	133
740	사진	132
741	대원	132
742	운반	132
743	들여다보	132
744	기억	131
745	대통령	131
746	데밍	131
747	빌케	131
748	매우	130
749	악마	130
750	사고	130
751	인디언	130
752	생명	129
753	구하	129
754	근처	129
755	대단히	129
756	지키	129
757	으로서	129
758	생기	129
759	X	129
760	입구	129
761	ᆸ시다	129
762	일으키	128
763	물건	128
764	공중	128
765	이쪽	128
766	로비	128
767	려	127
768	카	127
769	어쩌면	127
770	쓰러지	126
771	늦	126
772	가진	126
773	자세히	126
774	도저히	126
775	포리스터	126
776	루크	126
777	되돌아오	125
778	약	125
779	이러	125
780	무리	125
781	무기	125
782	안심	124
783	롭	124
784	좋아하	124
785	공간	124
786	마침내	124
787	칼	124
788	아무튼	124
789	찰리	124
790	중요	123
791	푸른	123
792	떨어진	123
793	카렌	123
794	방향	122
795	병	122
796	에드워드	122
797	조용	122
798	속력	122
799	상대	121
800	그러니까	121
801	든	121
802	쏘	121
803	준	121
804	계산	121
805	해	121
806	한스	121
807	공격	120
808	합	120
809	상태	119
810	오래	119
811	현재	119
812	올	119
813	애	119
814	육체	119
815	길ᆫ	118
816	곁	118
817	계시	118
818	여요	118
819	급히	117
820	우선	117
821	려는	117
822	노인	117
823	나쁜	117
824	끌	117
825	유령	117
826	크레인	117
827	옮기	116
828	으려고	116
829	뜻	116
830	돔	116
831	컬리	116
832	아아	115
833	하루	115
834	주의	115
835	더욱이	115
836	휴머노이드	115
837	발명	114
838	연구실	114
839	꿈	114
840	왕	113
841	침대	113
842	조종	113
843	청년	113
844	전파	113
845	키	113
846	테이블	113
847	장	113
848	그녀	113
849	위성	113
850	브론슨	113
851	흥분	112
852	으로부터	112
853	마다	112
854	동력	112
855	느낌	112
856	조그맣ᆫ	112
857	경찰관	112
858	밀리	112
859	로스모	112
860	이유	111
861	성공	111
862	떠오르	111
863	반대	111
864	구멍	111
865	나요	110
866	전자	110
867	가득	110
868	어둠	110
869	엔더비	110
870	하고	110
871	폭발	110
872	인사	109
873	언제나	109
874	예요	109
875	결과	109
876	얼마나	109
877	에요	108
878	너무나	108
879	흰	108
880	장관	108
881	내일	108
882	나아가	108
883	마사	108
884	잠	107
885	전쟁	107
886	책상	107
887	문득	107
888	가량	107
889	다만	107
890	렉스	107
891	구	107
892	사령관	107
893	바닥	106
894	다르	106
895	바꾸	106
896	녀석	106
897	열심히	106
898	최후	105
899	따위	105
900	돌연	105
901	강	105
902	척	105
903	되돌아가	105
904	행동	104
905	마을	104
906	다리	104
907	나쁘	104
908	확실히	104
909	동시	103
910	대체	103
911	공항	103
912	훈련	103
913	그림	103
914	피	102
915	앗	102
916	지켜보	102
917	끝내	101
918	고맙	101
919	켜	101
920	학자	101
921	통신	101
922	록스턴	101
923	승무원	101
924	과연	100
925	질문	100
926	대단	100
927	떨	100
